Zeitschienen,SRG SSR Total,SRF Total,SRF 1,SRF zwei,SRF info,RTS 1,RSI LA 1,Restliche SRG SSR,Andere Sender,Facts,Aktivitäten,Zielgruppe,Region,Jahr,Zeitintervall
02:00:00 - 02:15:00,13.132571765,13.057979316,6.031590711,4.256463948,2.769924657,0.010557473,0.040287814,0.023747162,92.112084906,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:15:00 - 02:30:00,12.033566135,11.971157118,5.611789889,3.682864339,2.67650289,0.012458585,0.038441096,0.011509337,80.47867156,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:30:00 - 02:45:00,10.904239277,10.883645628,5.172278682,3.099562724,2.611804222,0.003606946,0.00654742,0.010439283,72.559864991,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:45:00 - 03:00:00,9.889574532,9.860178838,4.680241587,2.746570603,2.433366647,0.006365612,0.00342618,0.019603903,65.70337587,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:00:00 - 03:15:00,9.340510155,9.294847192,4.435581237,2.687406533,2.171859422,0.004043595,0.001825004,0.039794365,60.518273192,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:15:00 - 03:30:00,8.640285891,8.599155883,4.175162223,2.423969712,2.000023947,0.001664611,0.001442452,0.038022945,55.322983057,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:30:00 - 03:45:00,7.967503573,7.92879776,3.874864048,2.237316192,1.81661752,0.005377319,0.000994671,0.032333823,50.47165064,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:45:00 - 04:00:00,7.634620605,7.606945245,3.807981654,2.162625701,1.63633789,0.008116832,0.000439408,0.01911912,46.056122234,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:00:00 - 04:15:00,7.186235918,7.162551283,3.479104597,2.046649959,1.636796727,0.007316575,0.000769778,0.015598282,43.655581895,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:15:00 - 04:30:00,6.636343956,6.601437286,3.075515892,1.922461127,1.603460267,0.01739295,0.00341963,0.014094089,41.523612443,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:30:00 - 04:45:00,6.328470189,6.28914921,2.833759331,1.891604452,1.563785427,0.021640963,0.001219044,0.016460973,40.000366202,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:45:00 - 05:00:00,6.118145081,6.070873381,2.891611363,1.758562441,1.420699577,0.014389392,0.000071827,0.03281048,39.257451482,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:00:00 - 05:15:00,5.838622982,5.803593517,2.947040329,1.623209057,1.233344131,0.005692413,0.002072748,0.027264303,37.302419138,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:15:00 - 05:30:00,5.57939069,5.547525957,2.841990472,1.538481695,1.167053791,0.006076166,0.000957334,0.024831233,37.125198956,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:30:00 - 05:45:00,5.996817114,5.959684057,3.017003599,1.861489923,1.081190535,0.006538521,0.000030097,0.03056444,45.437683664,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:45:00 - 06:00:00,6.634904451,6.571591562,3.478255107,2.134250254,0.959086201,0.009215735,0.004872559,0.049224596,48.166610404,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:00:00 - 06:15:00,7.344248978,7.272889399,3.878647471,2.391320912,1.002921016,0.013178081,0.004629812,0.053551685,49.386245891,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:15:00 - 06:30:00,8.266174232,8.177741462,4.306758551,2.88387723,0.987105682,0.014453017,0.003257462,0.070722291,49.857056079,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:30:00 - 06:45:00,10.09829672,9.992400182,5.29021944,3.707375196,0.994805547,0.025979334,0.001627585,0.078289619,59.795409291,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:45:00 - 07:00:00,11.46307559,11.307459797,6.631877616,3.686680232,0.988901948,0.073147057,0.000910488,0.081558248,62.119504561,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
07:00:00 - 07:15:00,12.727398385,12.616204751,8.519877872,2.996359438,1.099967441,0.041420077,0.000094678,0.06967888,62.696099062,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
07:15:00 - 07:30:00,14.668971035,14.549492444,10.241076384,2.943178252,1.365237808,0.01920821,0.000461387,0.099808994,64.359814426,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
07:30:00 - 07:45:00,17.111938812,16.98701374,11.913972938,3.516939281,1.556101521,0.024515823,0.000887941,0.099521308,64.447923042,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
07:45:00 - 08:00:00,18.866837815,18.6914356,12.387626977,4.539825978,1.763982645,0.035763223,0.00782954,0.131809453,66.53311167,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
08:00:00 - 08:15:00,20.843454542,20.67188853,12.624929141,5.674784235,2.372175153,0.035482043,0.009676069,0.1264079,69.465077707,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
